,Important Words,Coefficient_0,Coefficient_4,Coefficient_10,Coefficient_100,Coefficient_1000,Coefficient_100000
4,love,1.0585539820695438,1.050855680993631,1.0395285158465863,0.8966441331010779,0.4183536441339269,0.009041737297695286
23,loves,1.0524840477983537,1.0439029129020743,1.0312653468918702,0.8707939748225282,0.34587025662885307,0.006149882555744081
8,easy,0.9845588198731924,0.9776001497817036,0.96736183663147,0.8382448329554506,0.40190397136319134,0.00880768121210408
34,perfect,0.8356932076383463,0.8285546747911551,0.8180378375428206,0.6841429449844793,0.25061384266225595,0.003988802594733372
3,great,0.8016249897781762,0.7968969330033087,0.7899351472214043,0.7014250736748336,0.37601171422167073,0.008949560497355638
169,returned,-0.5727070451581127,-0.5675184854879843,-0.5598698491588029,-0.4620556794344292,-0.1500209471918094,-0.0022246365476311088
113,waste,-0.6178091779812257,-0.612474509202332,-0.6046202518853265,-0.5051887579435835,-0.1906306530215114,-0.0033449007794990574
114,return,-0.7420849546350397,-0.7355024007212443,-0.7258065666864305,-0.6026463562873889,-0.2151985237857179,-0.003729690924727013
97,money,-0.7687931346121052,-0.7627339763998728,-0.7538182939839561,-0.6414057524811045,-0.2758833739147449,-0.005487210455090579
106,disappointed,-0.9554366281707273,-0.946979918258718,-0.9345184199406324,-0.775625136545788,-0.26609518179599084,-0.00401339657882339
