,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,term_ 36 months,term_ 60 months,safe_loans
1,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
6,0,0,0,0,0,1,0,0,0,1,0,0,1,-1
7,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
10,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
12,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
18,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
21,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
23,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
45,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
48,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
50,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
58,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
63,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
87,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
89,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
102,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
108,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
111,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
118,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
124,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
136,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
138,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
140,0,0,1,0,0,0,0,1,0,0,0,1,0,-1
151,1,0,0,0,0,0,0,0,0,1,0,1,0,-1
158,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
159,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
165,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
166,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
169,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
183,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
191,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
197,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
201,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
202,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
207,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
225,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
229,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
238,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
242,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
245,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
250,1,0,0,0,0,0,0,0,0,1,0,1,0,-1
271,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
272,0,0,0,1,0,0,0,0,0,1,0,0,1,-1
283,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
286,0,0,1,0,0,0,0,0,0,1,0,0,1,-1
290,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
292,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
300,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
301,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
305,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
308,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
316,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
323,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
336,0,1,0,0,0,0,0,0,0,1,0,0,1,-1
337,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
344,1,0,0,0,0,0,0,0,0,0,1,0,1,-1
364,0,0,0,0,1,0,0,0,0,0,1,1,0,-1
366,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
373,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
375,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
380,0,1,0,0,0,0,0,0,0,0,1,0,1,-1
402,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
407,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
409,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
419,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
423,1,0,0,0,0,0,0,0,0,0,1,1,0,-1
427,0,0,1,0,0,0,0,0,0,1,0,1,0,-1
430,1,0,0,0,0,0,0,0,0,0,1,0,1,-1
435,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
444,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
459,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
461,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
466,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
468,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
471,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
473,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
474,0,0,0,1,0,0,0,0,0,0,1,1,0,-1
479,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
480,0,1,0,0,0,0,0,0,0,0,1,1,0,-1
492,0,0,1,0,0,0,0,0,0,0,1,1,0,-1
493,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
496,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
500,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
501,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
505,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
510,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
511,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
513,0,1,0,0,0,0,0,0,0,1,0,1,0,-1
518,0,0,0,1,0,0,0,1,0,0,0,1,0,-1
523,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
